Tempo (s)	Sensor1	Sensor2	Sensor3
5914.0	106.75	108.25	110.25
5924.0	105.5	108.5	104.75
5934.0	106.75	107.75	110.0
5944.0	106.75	108.5	110.25
5954.0	106.25	108.5	110.0
5965.0	106.75	108.0	109.5
5975.0	106.75	108.5	110.5
5985.0	106.5	108.5	110.75
5995.0	106.25	107.75	110.5
6005.0	106.25	107.75	110.5
6015.0	106.25	108.25	110.75
6025.0	106.0	107.75	110.25
6035.0	106.25	107.5	110.25
6045.0	106.5	107.75	110.75
6055.0	106.25	108.0	110.75
6065.0	106.0	107.75	110.25
6075.0	105.75	107.75	111.0
6085.0	105.75	107.5	110.25
6095.0	105.75	107.5	110.5
6105.0	105.75	107.75	110.5
6115.0	105.5	107.25	110.75
6125.0	105.75	107.5	111.0
6135.0	106.0	107.0	111.0
6145.0	105.0	106.75	110.75
6155.0	105.25	107.5	111.0
6165.0	104.75	107.25	110.5
6175.0	104.75	106.75	110.5
6185.0	105.0	106.75	110.75
6195.0	105.0	107.0	110.75
6205.0	105.0	106.75	110.5
6215.0	105.0	106.5	110.5
6225.0	105.0	107.0	110.25
6235.0	105.0	106.75	110.25
6245.0	105.25	106.75	109.75
6255.0	105.5	107.25	110.25
6265.0	106.0	107.0	110.25
6276.0	105.5	107.5	110.75
6286.0	106.25	108.5	110.75
6296.0	106.0	108.0	110.75
6306.0	106.5	108.75	110.25
6316.0	106.75	109.0	110.75
6326.0	107.25	108.75	111.0
6336.0	107.0	109.5	111.0
6346.0	107.5	109.5	111.25
6356.0	107.25	109.25	110.75
6366.0	108.0	110.0	111.0
6376.0	108.5	110.25	111.25
6386.0	108.25	110.0	111.5
6396.0	108.5	110.25	111.5
6406.0	108.25	110.5	111.5
6416.0	108.5	110.5	111.5
6426.0	109.0	110.75	111.75
6436.0	109.0	110.0	111.75
6446.0	109.0	110.75	112.0
6456.0	109.25	110.0	112.25
6466.0	109.25	110.5	112.25
6476.0	109.0	110.5	112.25
6486.0	109.0	110.25	112.75
6496.0	109.5	110.5	111.75
6506.0	109.0	110.75	112.75
6516.0	109.5	110.25	112.75
6527.0	109.5	110.25	113.0
6537.0	109.5	109.75	112.25
6547.0	109.5	110.5	112.5
6557.0	109.0	110.5	113.0
6567.0	109.5	110.5	113.0
6577.0	109.75	110.5	112.5
6587.0	109.5	110.5	112.75
6597.0	109.5	110.25	113.0
6607.0	109.5	109.75	113.0
6617.0	109.0	109.75	112.75
6627.0	109.25	110.0	113.0
6637.0	109.0	110.25	113.0
6647.0	108.75	109.75	113.5
6657.0	109.0	109.75	112.5
6667.0	108.5	109.75	113.5
6677.0	108.75	109.0	113.25
6687.0	108.5	109.25	113.25
6697.0	108.5	109.5	113.5
6707.0	108.75	109.25	113.25
6717.0	108.75	108.75	112.75
6727.0	108.0	109.0	113.5
6738.0	108.25	109.0	112.75
6748.0	107.75	108.75	113.25
6758.0	107.75	108.75	113.0
6768.0	108.0	108.75	113.5
6778.0	107.75	108.5	113.0
6788.0	107.75	108.0	112.75
6798.0	107.25	108.25	113.0
6808.0	107.5	109.0	112.5
6818.0	107.5	109.0	112.75
6828.0	107.75	109.25	113.0
6838.0	108.25	109.0	112.75
6848.0	108.25	109.25	113.0
6858.0	108.5	110.25	113.0
6868.0	108.0	110.25	113.0
6878.0	108.75	110.5	112.75
6888.0	108.75	110.25	113.0
6898.0	109.25	111.25	112.75
6908.0	109.75	111.75	113.25
6918.0	110.0	111.75	113.0
6928.0	110.0	112.25	113.5
6938.0	109.75	112.25	113.5
6948.0	110.0	112.5	113.25
6958.0	110.5	112.75	113.5
6968.0	111.0	111.75	113.75
6978.0	111.25	113.0	114.0
6988.0	110.5	112.75	113.75
6998.0	111.25	112.75	114.0
7008.0	111.5	113.0	114.25
7018.0	111.5	113.0	114.25
7028.0	111.0	112.75	114.5
7039.0	111.5	112.75	114.5
7049.0	111.25	112.5	114.25
7059.0	111.75	112.5	114.5
7069.0	111.5	113.0	114.75
7079.0	111.75	112.75	115.0
7089.0	111.75	112.25	114.75
7099.0	111.75	112.75	114.5
7109.0	111.75	112.75	114.75
7119.0	112.0	112.75	115.0
7129.0	111.25	112.25	115.25
7139.0	111.5	112.5	114.75
7149.0	111.25	112.5	115.0
7159.0	111.25	111.5	115.0
7169.0	110.75	112.25	114.75
7179.0	111.5	112.0	115.25
7189.0	111.25	112.5	115.25
7199.0	111.5	111.5	115.0
7209.0	111.0	111.5	115.0
7219.0	110.5	111.75	114.75
7229.0	110.75	111.5	115.5
7239.0	110.75	111.5	115.25
7249.0	111.0	110.75	115.0
7259.0	110.75	111.25	114.75
7269.0	110.0	111.5	115.25
7279.0	110.0	111.0	115.25
7289.0	110.5	111.25	115.0
7299.0	110.0	110.75	115.25
7309.0	110.5	110.5	115.0
7320.0	110.0	111.0	115.0
7330.0	110.0	110.25	115.0
7340.0	110.0	110.25	114.0
7350.0	109.75	109.5	114.75
7360.0	109.75	109.75	114.25
7370.0	110.0	110.0	114.25
7380.0	109.5	109.75	114.5
7390.0	109.75	110.0	114.5
7400.0	109.5	110.0	114.25
7410.0	109.75	110.25	114.5
7420.0	110.0	110.0	114.5
7430.0	110.0	110.75	114.75
7440.0	109.25	110.75	114.5
7450.0	110.0	111.5	114.5
7460.0	110.5	111.75	114.25
7470.0	110.5	112.5	114.5
7480.0	111.0	112.0	114.25
7490.0	111.0	112.75	114.5
7500.0	111.0	112.75	114.75
7510.0	111.75	113.5	114.75
7520.0	111.25	113.75	114.75
7530.0	111.75	113.25	114.75
7540.0	111.25	113.5	114.75
7550.0	111.75	114.0	114.75
7561.0	112.0	114.5	115.25
7571.0	112.25	114.5	115.25
7581.0	112.5	114.25	115.5
7591.0	112.75	113.75	115.5
7601.0	113.0	113.75	115.5
7611.0	113.0	114.25	116.0
7621.0	113.0	113.75	115.25
7631.0	113.0	113.75	116.0
7641.0	113.0	114.5	116.0
7651.0	113.0	114.5	115.75
7661.0	113.25	114.5	116.0
7671.0	113.25	114.25	116.25
7681.0	113.25	114.0	116.25
7691.0	113.25	113.75	116.0
7701.0	112.75	114.0	116.5
7711.0	113.25	114.0	116.0
7721.0	113.25	113.75	115.5
7731.0	112.75	114.0	116.25
7741.0	113.25	113.5	117.0
7751.0	113.0	113.75	116.0
7761.0	113.0	113.75	116.5
7771.0	112.75	113.5	116.25
7781.0	113.0	112.75	116.5
7791.0	112.75	113.0	116.75
7802.0	112.75	113.0	116.75
7812.0	112.75	112.75	116.5
7822.0	112.75	112.5	116.75
7832.0	112.5	112.5	116.75
7842.0	112.5	112.5	116.75
7852.0	112.25	112.0	117.0
7862.0	112.5	112.0	116.5
7872.0	111.75	111.75	116.5
7882.0	112.0	112.0	116.75
7892.0	111.75	112.0	116.5
7902.0	112.0	111.75	116.0
7912.0	111.75	111.75	117.0
