Tempo (s)	Sensor1	Sensor2	Sensor3
2633.0	65.25	0.0	0.0
2638.0	65.0	0.0	0.0
2643.0	65.25	0.0	0.0
2648.0	65.0	0.0	0.0
2653.0	65.25	0.0	0.0
2658.0	65.25	0.0	0.0
2663.0	65.25	0.0	0.0
2668.0	65.0	0.0	0.0
2673.0	64.75	0.0	0.0
2678.0	64.25	0.0	0.0
2683.0	64.5	0.0	0.0
2688.0	64.5	0.0	0.0
2693.0	64.5	0.0	0.0
2698.0	64.75	0.0	0.0
2703.0	64.25	0.0	0.0
2708.0	64.75	0.0	0.0
2713.0	64.5	0.0	0.0
2718.0	64.75	0.0	0.0
2724.0	64.5	0.0	0.0
2729.0	64.5	0.0	0.0
2734.0	64.25	0.0	0.0
2739.0	64.0	0.0	0.0
2744.0	64.25	0.0	0.0
2749.0	64.25	0.0	0.0
2754.0	64.25	0.0	0.0
2759.0	64.5	0.0	0.0
2764.0	63.75	0.0	0.0
2769.0	63.75	0.0	0.0
2774.0	64.0	0.0	0.0
2779.0	63.5	0.0	0.0
2784.0	64.0	0.0	0.0
2789.0	63.75	0.0	0.0
2794.0	63.5	0.0	0.0
2799.0	63.5	0.0	0.0
2804.0	63.75	0.0	0.0
2809.0	63.75	0.0	0.0
2814.0	63.75	0.0	0.0
2819.0	64.0	0.0	0.0
2824.0	63.5	0.0	0.0
2829.0	63.5	0.0	0.0
2834.0	63.25	0.0	0.0
2840.0	62.75	0.0	0.0
2845.0	63.25	0.0	0.0
2850.0	63.25	0.0	0.0
2855.0	63.25	0.0	0.0
2860.0	63.25	0.0	0.0
2865.0	63.0	0.0	0.0
2870.0	62.75	0.0	0.0
2875.0	62.75	0.0	0.0
2880.0	63.0	0.0	0.0
2885.0	63.0	0.0	0.0
2890.0	63.0	0.0	0.0
2895.0	62.75	0.0	0.0
2900.0	62.5	0.0	0.0
2905.0	62.75	0.0	0.0
2910.0	63.0	0.0	0.0
2915.0	63.0	0.0	0.0
2920.0	62.25	0.0	0.0
2925.0	62.25	0.0	0.0
2930.0	62.75	0.0	0.0
2935.0	62.5	0.0	0.0
2940.0	62.5	0.0	0.0
2945.0	62.25	0.0	0.0
2950.0	62.25	0.0	0.0
2956.0	62.25	0.0	0.0
2961.0	62.0	0.0	0.0
