Data/Hora,Segundos,Sensor1,Sensor2
2024-11-11 14:25:19,2993.76,20.50,20.75
2024-11-11 14:25:29,3003.77,20.25,20.50
2024-11-11 14:25:39,3013.78,20.75,20.50
2024-11-11 14:25:49,3023.86,20.50,20.75
2024-11-11 14:26:00,3033.93,20.25,20.75
2024-11-11 14:26:10,3043.97,20.50,20.75
2024-11-11 14:26:20,3054.04,20.50,20.50
2024-11-11 14:26:30,3064.13,20.00,21.00
2024-11-11 14:26:40,3074.21,20.00,20.75
2024-11-11 14:26:50,3084.30,20.25,20.75
2024-11-11 14:27:00,3094.31,20.50,21.00
2024-11-11 14:27:10,3104.31,20.75,20.00
2024-11-11 14:27:20,3114.35,20.25,20.50
2024-11-11 14:27:30,3124.38,20.00,20.50
2024-11-11 14:27:40,3134.45,20.25,20.50
2024-11-11 14:27:50,3144.54,20.75,21.00
2024-11-11 14:28:00,3154.64,20.75,20.00
2024-11-11 14:28:10,3164.72,20.75,21.00
2024-11-11 14:28:20,3174.77,20.75,20.00
2024-11-11 14:28:30,3184.83,20.50,21.00
2024-11-11 14:28:41,3194.93,20.50,21.25
2024-11-11 14:28:51,3204.95,20.25,21.00
2024-11-11 14:29:01,3215.04,20.50,21.00
2024-11-11 14:29:11,3225.09,20.50,20.50
2024-11-11 14:29:21,3235.10,20.75,21.25
2024-11-11 14:29:31,3245.18,20.75,20.25
2024-11-11 14:29:41,3255.25,20.75,20.50
2024-11-11 14:29:51,3265.30,20.25,21.00
2024-11-11 14:30:01,3275.34,21.00,20.75
2024-11-11 14:30:11,3285.41,20.50,20.75
2024-11-11 14:30:21,3295.44,20.75,21.00
2024-11-11 14:30:31,3305.44,20.75,20.75
2024-11-11 14:30:41,3315.47,21.00,21.25
2024-11-11 14:30:51,3325.56,20.75,21.00
2024-11-11 14:31:01,3335.63,20.75,21.25
2024-11-11 14:31:11,3345.65,20.50,20.75
2024-11-11 14:31:21,3355.69,20.50,21.00
2024-11-11 14:31:31,3365.79,21.00,21.00
2024-11-11 14:31:41,3375.83,21.00,21.00
2024-11-11 14:31:51,3385.92,20.75,21.25
2024-11-11 14:32:02,3395.94,20.75,21.00
2024-11-11 14:32:12,3405.94,20.75,21.25
2024-11-11 14:32:22,3415.99,21.00,21.25
2024-11-11 14:32:32,3425.99,20.50,21.00
2024-11-11 14:32:42,3436.04,21.25,21.50
2024-11-11 14:32:52,3446.12,20.75,21.25
2024-11-11 14:33:02,3456.16,21.00,21.00
2024-11-11 14:33:12,3466.21,21.25,21.25
2024-11-11 14:33:22,3476.22,21.25,21.50
2024-11-11 14:33:32,3486.26,21.25,21.25
2024-11-11 14:33:42,3496.27,20.50,20.50
2024-11-11 14:33:52,3506.28,21.00,21.00
2024-11-11 14:34:02,3516.34,21.00,21.25
2024-11-11 14:34:12,3526.44,20.50,21.50
2024-11-11 14:34:22,3536.46,21.00,21.25
